번호	일시	회원번호	출금계좌	입금계좌	카드번호	상품번호	 금액 	결제여부	할부여부
40	2021-08-06 21:03	12	768-8913-5359-57	364-4162-6207-46			 275,000 	1	1
41	2021-08-06 21:38	33			4754-1190-0633-2830	10	 29,738 	0	1
42	2021-08-07 1:12	31	990-1478-5088-69	770-9014-8303-76			 163,000 	1	1
43	2021-08-07 7:01	12			4915-0536-1544-4711	6	 11,000 	0	0
44	2021-08-07 10:02	3	341-4252-6227-25	757-6292-9320-88			 38,000 	1	1
45	2021-08-07 12:22	11			4289-1200-3178-0611	11	 36,900 	0	0
46	2021-08-07 13:48	10	393-1754-8216-13	332-6011-8447-16			 2,910 	1	1
47	2021-08-07 18:37	14	345-4597-6745-54	367-9321-8465-58			 124,000 	1	1
48	2021-08-07 20:21	14	345-4597-6745-54	366-8225-8987-92			 45,000 	1	1
49	2021-08-07 20:58	34			6198-0942-6914-9784	70	 1,029 	2	1
50	2021-08-07 21:55	34			6198-0942-6914-9784	30	 225,351 	0	4
51	2021-08-08 1:19	15	357-8036-3099-97	912-5362-8400-40			 139,000 	1	1
52	2021-08-08 1:58	14	345-4597-6745-54	990-1478-5088-69			 115,000 	1	1
53	2021-08-08 4:51	2			6235-7618-8935-4397	70	 1,000 	0	0
54	2021-08-08 5:38	15	357-8036-3099-97	727-4840-1873-72			 22,000 	1	1
55	2021-08-08 8:37	38	339-3762-6396-54	722-6629-4735-98			 416,000 	1	1
56	2021-08-08 9:06	24	997-5447-9620-11	757-6292-9320-88			 449,000 	1	1
57	2021-08-08 17:14	20			4980-8054-1807-7526	21	 19,000 	0	0
58	2021-08-08 21:35	4	332-6011-8447-16	341-4252-6227-25			 404,000 	1	1
59	2021-08-08 23:43	17	973-6867-5147-23	757-6292-9320-88			 36,000 	1	1
60	2021-08-08 23:45	10			4508-9202-2526-8942	55	 26,225 	0	1
61	2021-08-09 1:15	15	357-8036-3099-97	367-9321-8465-58			 489,000 	1	1
62	2021-08-09 1:59	14			4894-8226-6996-5561	39	 1,590,167 	0	4
63	2021-08-09 4:34	15			5430-8674-0726-5693	84	 79,316 	0	0
64	2021-08-09 6:16	29			4438-1413-1616-2357	20	 9,561 	0	2
65	2021-08-09 12:49	10	393-1754-8216-13	974-7704-9329-82			 380,000 	1	1
66	2021-08-09 15:52	7	385-9060-3453-33	974-7704-9329-82			 58,000 	1	1
67	2021-08-09 16:11	13	925-1034-4109-99	988-6703-4692-47			 319,000 	1	1
68	2021-08-09 17:44	38			4278-6283-9998-2400	64	 19,900 	0	0
69	2021-08-09 21:47	3			4656-6924-7890-5972	60	 258,783 	0	9
70	2021-08-09 21:59	15			5430-8674-0726-5693	88	 1,000 	1	0
71	2021-08-10 5:20	10	393-1754-8216-13	929-4063-3868-55			 25,400 	1	1
72	2021-08-10 7:12	34			6198-0942-6914-9784	17	 119,900 	0	0
73	2021-08-10 10:32	8	757-6292-9320-88	993-1926-9908-71			 2,630 	1	1
74	2021-08-10 12:09	40	988-6703-4692-47	341-4252-6227-25			 378,000 	1	1
75	2021-08-10 12:14	26			4251-0113-1119-8796	60	 250,992 	0	0
76	2021-08-10 14:27	28	777-6389-6356-29	978-9587-6101-14			 263,000 	1	1
77	2021-08-10 15:13	1	352-1194-2322-33	341-4252-6227-25			 292,000 	1	1
78	2021-08-10 17:04	38			4278-6283-9998-2400	47	 65,500 	0	0
79	2021-08-10 18:40	22	367-9321-8465-58	768-8913-5359-57			 475,000 	1	1
80	2021-08-10 20:59	7	385-9060-3453-33	974-7704-9329-82			 344,000 	1	1
81	2021-08-11 3:31	12			4915-0536-1544-4711	19	 26,651 	0	1
82	2021-08-11 11:16	7			5491-0000-7419-8591	3	 6,442 	5	4
83	2021-08-11 12:04	20			6258-2058-9776-1010	11	 37,970 	0	1
84	2021-08-11 12:34	14	345-4597-6745-54	770-9014-8303-76			 117,000 	1	1
85	2021-08-11 13:19	4	332-6011-8447-16	352-1194-2322-33			 355,000 	1	1
86	2021-08-11 13:31	29			4438-1413-1616-2357	64	 20,477 	0	2
87	2021-08-11 17:05	14	345-4597-6745-54	367-9321-8465-58			 492,000 	1	1
88	2021-08-11 17:09	4	332-6011-8447-16	385-9060-3453-33			 167,000 	1	1
89	2021-08-11 23:53	10	393-1754-8216-13	366-8225-8987-92			 449,000 	1	1
90	2021-08-12 2:54	14			5411-7005-9496-8736	32	 822,171 	0	6
91	2021-08-12 5:26	21	929-4063-3868-55	367-9321-8465-58			 2,000 	1	1
92	2021-08-12 21:28	22	367-9321-8465-58	988-6703-4692-47			 76,000 	1	1
93	2021-08-12 21:54	5	722-6629-4735-98	352-1194-2322-33			 114,000 	1	1
94	2021-08-12 21:59	11	334-3767-4066-78	974-7704-9329-82			 131,000 	1	1
95	2021-08-13 3:37	30	778-5257-5904-20	999-5457-3430-92			 251,000 	1	1
96	2021-08-13 3:58	10			4228-9702-4276-8736	37	 238,970 	0	3
97	2021-08-13 5:25	4			6133-6574-4571-8528	12	 45,700 	0	0
98	2021-08-13 7:43	19			4277-5792-7574-8124	50	 10,290 	0	1
99	2021-08-13 10:18	14			5411-7005-9496-8736	9	 34,093 	0	5
100	2021-08-13 12:22	26			4251-0113-1119-8796	17	 124,576 	0	1
101	2021-08-13 15:42	8	757-6292-9320-88	756-5480-7149-24			 2,520 	1	1
102	2021-08-14 1:29	21	929-4063-3868-55	352-1194-2322-33			 168,000 	1	1
103	2021-08-14 2:43	15			5430-8674-0726-5693	38	 492,891 	0	2
104	2021-08-14 12:45	14	345-4597-6745-54	756-5480-7149-24			 55,000 	1	1
105	2021-08-14 15:46	19	375-9870-7786-58	929-4063-3868-55			 249,000 	1	1
106	2021-08-14 22:14	26			4251-0113-1119-8796	36	 2,190,000 	0	0
107	2021-08-14 22:31	11			4289-1200-3178-0611	57	 19,071 	0	2
108	2021-08-15 2:24	29			4438-1413-1616-2357	3	 6,200 	1	0
109	2021-08-15 8:44	27	936-2290-8624-49	974-7704-9329-82			 174,000 	1	1
110	2021-08-15 14:36	15			6110-7149-9555-0819	37	 238,050 	0	1
111	2021-08-15 14:37	28			4897-8159-1822-7180	19	 25,900 	0	0
112	2021-08-16 1:21	6	978-9587-6101-14	341-4252-6227-25			 321,000 	1	1
113	2021-08-16 4:47	38	339-3762-6396-54	974-7704-9329-82			 370,000 	1	1
114	2021-08-16 7:01	12	768-8913-5359-57	777-6389-6356-29			 41,500 	1	1
115	2021-08-16 8:41	10	393-1754-8216-13	997-5447-9620-11			 109,000 	1	1
116	2021-08-16 9:56	11			4501-1521-4471-7041	50	 10,390 	0	2
117	2021-08-16 13:25	11			4289-1200-3178-0611	71	 1,257,751 	0	3
118	2021-08-16 14:50	6			4653-7380-3898-9402	23	 158,924 	0	3
119	2021-08-16 15:34	6	978-9587-6101-14	366-8225-8987-92			 370,000 	1	1
120	2021-08-16 23:44	14			5411-7005-9496-8736	50	 10,290 	0	2
121	2021-08-17 1:35	37			4291-6893-5280-8183	72	 1,661,361 	0	2
122	2021-08-17 6:37	17			4998-1273-4593-5282	50	 10,000 	0	0
123	2021-08-17 6:46	17	973-6867-5147-23	364-4162-6207-46			 91,000 	1	1
124	2021-08-17 7:21	2			4274-5543-1470-3247	54	 51,450 	3	12
125	2021-08-17 10:08	14			5411-7005-9496-8736	38	 492,891 	0	2
126	2021-08-17 10:21	6			4653-7380-3898-9402	26	 18,140,357 	0	12
127	2021-08-17 10:45	20			6258-2058-9776-1010	30	 225,351 	0	9
128	2021-08-17 11:19	11			4289-1200-3178-0611	47	 68,710 	0	3
129	2021-08-17 13:32	14			5411-7005-9496-8736	85	 3,087 	0	1
130	2021-08-17 17:48	34			6198-0942-6914-9784	48	 49,300 	0	0
131	2021-08-17 19:36	11			4289-1200-3178-0611	20	 9,747 	0	1
132	2021-08-18 1:43	16	796-5190-4893-31	756-5480-7149-24			 124,000 	1	1
133	2021-08-18 2:47	5			4554-2948-2495-4347	12	 47,482 	0	6
134	2021-08-18 9:07	6			3543-1842-4955-1241	54	 51,950 	0	2
135	2021-08-18 9:25	35			4139-9464-9242-9270	10	 28,900 	0	0
136	2021-08-18 17:01	12			4152-1439-3522-2074	83	 1,563,010 	0	3
137	2021-08-18 19:42	12			4152-1439-3522-2074	66	 1,101,450 	0	4
138	2021-08-18 20:03	2			4274-5543-1470-3247	21	 19,000 	0	0
139	2021-08-18 22:58	11			4501-1521-4471-7041	30	 227,541 	0	2
140	2021-08-19 1:53	2			6235-7618-8935-4397	1	 4,468 	0	12
141	2021-08-19 8:13	31			5488-3836-3430-7070	69	 809,100 	0	0
142	2021-08-19 8:56	5			6257-9724-3237-6002	24	 1,155,264 	0	4
143	2021-08-19 10:37	23	742-3245-6777-81	990-1478-5088-69			 460,000 	1	1
144	2021-08-19 10:57	3	341-4252-6227-25	778-5257-5904-20			 165,000 	1	1
145	2021-08-19 11:30	17			4998-1273-4593-5282	90	 57,497,429 	0	12
146	2021-08-19 12:42	8			4459-8601-5503-0106	62	 114,220 	0	4
147	2021-08-19 13:20	23	742-3245-6777-81	912-5362-8400-40			 245,000 	1	1
148	2021-08-19 14:25	17			4998-1273-4593-5282	9	 34,561 	0	1
149	2021-08-19 20:27	8			4459-8601-5503-0106	25	 1,335,728 	0	12
150	2021-08-19 21:01	15			5430-8674-0726-5693	10	 29,738 	0	2
151	2021-08-20 6:13	11	334-3767-4066-78	375-9870-7786-58			 157,000 	1	1
152	2021-08-20 7:09	5			4554-2948-2495-4347	22	 31,170 	0	1
153	2021-08-20 10:02	5			6257-9724-3237-6002	35	 7,657,700 	0	12
154	2021-08-20 12:01	22			4622-2464-1000-3115	19	 25,900 	0	0
155	2021-08-20 13:42	38			4278-6283-9998-2400	7	 12,000 	0	0
156	2021-08-20 14:36	14			5411-7005-9496-8736	79	 3,605,575 	0	6
157	2021-08-20 17:01	32			4124-1993-4558-0867	9	 34,493 	0	2
158	2021-08-20 19:45	40	988-6703-4692-47	726-2721-8040-22			 321,000 	1	1
159	2021-08-20 22:13	5	722-6629-4735-98	341-4252-6227-25			 475,000 	1	1
160	2021-08-20 22:58	10	393-1754-8216-13	352-1194-2322-33			 94,000 	1	1
161	2021-08-21 2:43	6			4653-7380-3898-9402	24	 1,155,264 	0	3
162	2021-08-21 3:43	13	925-1034-4109-99	757-6292-9320-88			 234,000 	1	1
163	2021-08-21 5:51	10	393-1754-8216-13	339-3762-6396-54			 103,000 	1	1
164	2021-08-21 6:29	18			4778-6429-6549-3344	8	 1,544 	3	2
165	2021-08-21 15:50	6	978-9587-6101-14	990-1478-5088-69			 343,000 	1	1
166	2021-08-21 16:42	12			4152-1439-3522-2074	2	 2,518 	0	1
167	2021-08-22 4:18	13			5446-9530-1580-4616	54	 51,450 	0	3
168	2021-08-22 6:56	14			5411-7005-9496-8736	6	 11,319 	0	3
169	2021-08-22 12:28	10	393-1754-8216-13	339-3762-6396-54			 4,480 	1	1
170	2021-08-22 16:42	7			5492-7845-3998-3945	67	 758,470 	0	6
171	2021-08-22 21:14	26			4251-0113-1119-8796	37	 230,000 	0	0
172	2021-08-22 21:56	10			4228-9702-4276-8736	49	 61,301 	0	5
173	2021-08-22 22:02	7			5491-0000-7419-8591	4	 3,800 	0	0
174	2021-08-22 23:31	10	393-1754-8216-13	997-5447-9620-11			 219,000 	1	1
175	2021-08-23 2:46	37			4304-5759-0122-0163	18	 23,800 	0	3
176	2021-08-23 3:19	12			4152-1439-3522-2074	28	 30,421 	0	2
177	2021-08-23 7:06	12			4915-0536-1544-4711	16	 101,871 	0	1
178	2021-08-23 9:02	5			4554-2948-2495-4347	77	 1,245,761 	0	11
179	2021-08-23 10:43	32	366-8225-8987-92	993-1926-9908-71			 456,000 	1	1
180	2021-08-23 10:59	33			4754-1190-0633-2830	30	 225,351 	0	2
181	2021-08-23 12:54	30			6238-1630-4153-1561	9	 33,991 	0	1
182	2021-08-23 12:56	12	768-8913-5359-57	912-5362-8400-40			 50,000 	1	1
183	2021-08-23 17:45	3	341-4252-6227-25	722-6629-4735-98			 12,000 	1	1
184	2021-08-23 23:23	5	722-6629-4735-98	778-5257-5904-20			 347,000 	1	1
185	2021-08-23 23:23	13			5446-9530-1580-4616	32	 822,171 	0	3
186	2021-08-24 1:20	29	912-5362-8400-40	726-2721-8040-22			 370,000 	1	1
187	2021-08-24 2:18	12			4152-1439-3522-2074	21	 19,931 	0	1
188	2021-08-24 2:38	11	334-3767-4066-78	768-8913-5359-57			 160,000 	1	1
189	2021-08-24 4:05	12			4152-1439-3522-2074	53	 87,801 	0	3
190	2021-08-24 5:53	7			5492-7845-3998-3945	37	 230,000 	0	0
191	2021-08-24 6:31	34	993-1926-9908-71	936-2290-8624-49			 210,000 	1	1
192	2021-08-24 6:34	33	726-2721-8040-22	364-4162-6207-46			 471,000 	1	1
193	2021-08-24 8:20	11	334-3767-4066-78	361-6239-6771-74			 250,000 	1	1
194	2021-08-24 15:31	14			5411-7005-9496-8736	34	 77,175 	0	3
195	2021-08-24 21:28	5	722-6629-4735-98	757-6292-9320-88			 41,000 	1	1
196	2021-08-24 21:54	2			4135-8486-9179-4774	3	 6,200 	0	0
197	2021-08-25 5:32	40	988-6703-4692-47	352-1194-2322-33			 341,000 	1	1
198	2021-08-25 9:16	39			4405-7274-3586-7453	7	 12,000 	0	0
199	2021-08-25 10:09	31	990-1478-5088-69	778-5257-5904-20			 381,000 	1	1
200	2021-08-25 14:01	6			3543-1842-4955-1241	34	 77,925 	0	6
201	2021-08-25 14:27	24	997-5447-9620-11	366-8225-8987-92			 367,000 	1	1
202	2021-08-25 18:10	36	756-5480-7149-24	339-3762-6396-54			 129,000 	1	1
203	2021-08-25 19:32	1	352-1194-2322-33	990-1478-5088-69			 16,000 	1	1
204	2021-08-26 1:25	35	364-4162-6207-46	978-9587-6101-14			 233,000 	1	1
205	2021-08-26 1:36	19			4277-5792-7574-8124	10	 28,900 	0	0
206	2021-08-26 4:12	21	929-4063-3868-55	988-6703-4692-47			 453,000 	1	1
207	2021-08-26 8:03	19			4277-5792-7574-8124	17	 123,377 	0	1
208	2021-08-26 8:28	6	978-9587-6101-14	375-9870-7786-58			 389,000 	1	1
209	2021-08-26 10:47	10			4508-9202-2526-8942	13	 35,705 	0	1
210	2021-08-26 11:04	35			4139-9464-9242-9270	6	 11,000 	0	0
211	2021-08-26 15:47	35	364-4162-6207-46	726-2721-8040-22			 496,000 	1	1
212	2021-08-26 16:33	7	385-9060-3453-33	936-2290-8624-49			 31,000 	1	1
213	2021-08-26 20:51	7	385-9060-3453-33	756-5480-7149-24			 474,000 	1	1
214	2021-08-26 23:31	39			4405-7274-3586-7453	12	 45,700 	0	0
215	2021-08-28 3:04	33			4754-1190-0633-2830	45	 2,477,491 	0	3
216	2021-08-28 7:15	12			4152-1439-3522-2074	12	 47,939 	0	3
217	2021-08-28 10:17	17	973-6867-5147-23	339-3762-6396-54			 372,000 	1	1
218	2021-08-28 11:17	5	722-6629-4735-98	393-1754-8216-13			 35,000 	1	1
219	2021-08-28 12:32	2	352-1194-2322-33	341-4252-6227-25			 363,000 	1	1
220	2021-08-28 13:24	13			5477-9684-2872-1952	84	 81,616 	0	4
221	2021-08-28 22:19	29	912-5362-8400-40	366-6150-8195-42			 486,000 	1	1
222	2021-08-28 23:25	13	925-1034-4109-99	334-3767-4066-78			 465,000 	1	1
223	2021-08-29 1:29	5	722-6629-4735-98	361-6239-6771-74			 126,000 	1	1
224	2021-08-29 3:41	38			4278-6283-9998-2400	39	 1,530,478 	0	0
225	2021-08-29 4:52	31			4764-2289-4098-2693	64	 18,250 	0	1
226	2021-08-29 5:19	15			5430-8674-0726-5693	7	 12,000 	0	0
227	2021-08-29 7:26	37	999-5457-3430-92	757-6292-9320-88			 478,000 	1	1
228	2021-08-29 8:37	3	341-4252-6227-25	334-3767-4066-78			 60,000 	1	1
229	2021-08-29 10:13	1	352-1194-2322-33	366-8225-8987-92			 11,000 	1	1
230	2021-08-29 17:36	21			6112-1864-7089-7656	89	 150,490,000 	0	0
231	2021-08-29 21:45	24			6167-4383-5951-5692	47	 67,400 	0	6
232	2021-08-29 22:53	11			4289-1200-3178-0611	16	 103,851 	0	2
233	2021-08-30 1:28	6	978-9587-6101-14	367-9321-8465-58			 217,000 	1	1
234	2021-08-30 2:40	13			5446-9530-1580-4616	15	 35,706 	0	11
235	2021-08-30 12:19	27			4528-5002-5615-3481	15	 36,053 	0	1
236	2021-08-30 17:43	11			4289-1200-3178-0611	47	 68,710 	0	2
237	2021-08-30 19:18	38	339-3762-6396-54	777-6389-6356-29			 122,000 	1	1
238	2021-08-30 19:49	33	726-2721-8040-22	974-7704-9329-82			 166,000 	1	1
239	2021-08-30 23:59	11			4289-1200-3178-0611	20	 9,747 	0	2
240	2021-09-01 4:15	28	777-6389-6356-29	339-3762-6396-54			 356,000 	1	1
241	2021-09-01 11:11	29			9590-0022-7805-2528	55	 25,000 	0	0
242	2021-09-01 14:11	3			4656-6924-7890-5972	57	 18,180 	0	0
243	2021-09-02 1:48	7			5492-7845-3998-3945	58	 3,844 	0	3
244	2021-09-02 5:45	39			5449-1026-3931-0534	73	 35,525 	0	0
245	2021-09-02 9:22	38	339-3762-6396-54	990-1478-5088-69			 330,000 	1	1
246	2021-09-02 14:53	8	757-6292-9320-88	334-3767-4066-78			 4,350 	1	1
247	2021-09-02 14:57	25			4357-6105-4676-7394	43	 4,756,450 	0	0
248	2021-09-02 21:46	8	757-6292-9320-88	929-4063-3868-55			 1,890 	1	1
249	2021-09-03 7:57	15			5430-8674-0726-5693	17	 123,377 	0	3
250	2021-09-03 8:24	5	722-6629-4735-98	339-3762-6396-54			 29,000 	1	1
251	2021-09-03 8:50	8			4459-8601-5503-0106	31	 348,411 	0	5
252	2021-09-03 9:22	11			4289-1200-3178-0611	30	 229,731 	0	2
253	2021-09-03 11:31	10	393-1754-8216-13	990-1478-5088-69			 33,400 	1	1
254	2021-09-03 14:39	6			4653-7380-3898-9402	37	 241,270 	0	12
255	2021-09-03 15:15	28			4897-8159-1822-7180	60	 258,783 	0	3
256	2021-09-03 16:13	20			6258-2058-9776-1010	12	 45,700 	0	0
257	2021-09-03 17:15	40	988-6703-4692-47	367-9321-8465-58			 196,000 	1	1
258	2021-09-03 22:54	8	757-6292-9320-88	367-9321-8465-58			 2,000 	1	1
259	2021-09-03 23:18	5	722-6629-4735-98	385-9060-3453-33			 416,000 	1	1
260	2021-09-04 3:02	8	757-6292-9320-88	974-7704-9329-82			 174,000 	1	1
261	2021-09-04 7:26	4	332-6011-8447-16	341-4252-6227-25			 105,000 	1	1
262	2021-09-04 9:50	1	352-1194-2322-33	366-8225-8987-92			 81,000 	1	1
263	2021-09-04 22:06	11			4289-1200-3178-0611	38	 502,471 	0	2
264	2021-09-04 22:31	6			4653-7380-3898-9402	75	 1,730,850 	0	3
265	2021-09-05 3:43	34			6198-0942-6914-9784	9	 33,330 	0	0
266	2021-09-05 4:12	27			4528-5002-5615-3481	21	 19,000 	0	0
267	2021-09-05 13:07	6	978-9587-6101-14	352-1194-2322-33			 76,000 	1	1
268	2021-09-05 16:26	13	925-1034-4109-99	364-4162-6207-46			 383,000 	1	1
269	2021-09-05 17:24	11	334-3767-4066-78	345-4597-6745-54			 326,000 	1	1
270	2021-09-05 17:44	38			4278-6283-9998-2400	62	 108,070 	0	0
271	2021-09-06 1:11	12	768-8913-5359-57	339-3762-6396-54			 407,000 	1	1
272	2021-09-06 1:34	15	357-8036-3099-97	339-3762-6396-54			 295,000 	1	1
273	2021-09-06 3:18	28			9672-9577-4413-7030	50	 10,000 	0	0
274	2021-09-06 4:18	10	393-1754-8216-13	727-4840-1873-72			 49,600 	1	1
275	2021-09-06 5:59	15	357-8036-3099-97	999-5457-3430-92			 290,000 	1	1
276	2021-09-06 6:54	38			4278-6283-9998-2400	37	 230,000 	0	0
277	2021-09-06 8:46	17			4998-1273-4593-5282	21	 19,741 	0	3
278	2021-09-06 9:42	33			4754-1190-0633-2830	65	 3,454,353 	0	7
279	2021-09-06 11:40	36			4316-7505-0711-0172	21	 19,000 	0	0
280	2021-09-06 20:48	11	334-3767-4066-78	357-8036-3099-97			 445,000 	1	1
281	2021-09-06 21:02	35	364-4162-6207-46	334-3767-4066-78			 354,000 	1	1
282	2021-09-06 21:49	27			4528-5002-5615-3481	35	 7,584,700 	0	12
283	2021-09-06 23:56	10	393-1754-8216-13	990-1478-5088-69			 421,000 	1	1
284	2021-09-07 2:18	29			4438-1413-1616-2357	9	 34,297 	0	1
285	2021-09-07 3:27	8			4459-8601-5503-0106	59	 393,897 	0	3
286	2021-09-07 3:42	16			4318-4865-1001-7994	45	 2,472,585 	0	3
287	2021-09-07 4:48	5	722-6629-4735-98	385-9060-3453-33			 34,000 	1	1
288	2021-09-07 6:49	2			6235-7618-8935-4397	82	 2,067,610 	0	12
289	2021-09-07 6:52	5	722-6629-4735-98	367-9321-8465-58			 377,000 	1	1
290	2021-09-07 8:13	15	357-8036-3099-97	364-4162-6207-46			 237,000 	1	1
291	2021-09-07 10:06	32	366-8225-8987-92	757-6292-9320-88			 294,000 	1	1
292	2021-09-07 17:18	6			3543-1842-4955-1241	15	 36,053 	0	2
293	2021-09-07 19:27	31			5488-3836-3430-7070	37	 207,000 	0	0
294	2021-09-08 2:41	15			5430-8674-0726-5693	29	 75,117 	0	3
295	2021-09-08 3:25	28			4897-8159-1822-7180	82	 2,047,710 	0	12
296	2021-09-08 4:02	5			6257-9724-3237-6002	3	 6,504 	4	3
297	2021-09-08 4:56	13			5446-9530-1580-4616	38	 492,891 	0	3
298	2021-09-08 8:49	4			5469-2651-7075-7532	87	 3,117 	4	2
299	2021-09-08 12:03	34			6198-0942-6914-9784	53	 86,127 	0	3
300	2021-09-08 12:20	26			6298-0294-4920-2348	35	 7,300,000 	0	0
301	2021-09-08 16:20	2	352-1194-2322-33	341-4252-6227-25			 85,000 	1	1
302	2021-09-08 19:26	20	756-8530-4608-45	993-1926-9908-71			 170,000 	1	1
303	2021-09-09 7:30	22	367-9321-8465-58	352-1194-2322-33			 485,000 	1	1
304	2021-09-09 8:13	4	332-6011-8447-16	334-3767-4066-78			 141,000 	1	1
305	2021-09-09 8:55	8			4459-8601-5503-0106	87	 3,177 	2	1
306	2021-09-09 9:48	11			4289-1200-3178-0611	25	 1,325,740 	0	3
307	2021-09-10 8:52	14			4894-8226-6996-5561	85	 3,117 	3	2
308	2021-09-10 10:57	15	357-8036-3099-97	339-3762-6396-54			 343,000 	1	1
309	2021-09-11 1:26	8			4459-8601-5503-0106	20	 9,821 	0	2
310	2021-09-11 2:14	38			4278-6283-9998-2400	12	 45,700 	0	0
311	2021-09-11 3:38	1	352-1194-2322-33	332-6011-8447-16			 5,000 	1	1
312	2021-09-11 3:43	7			5491-0000-7419-8591	61	 356,049 	0	2
313	2021-09-11 4:06	34	993-1926-9908-71	352-1194-2322-33			 494,000 	1	1
314	2021-09-11 6:50	4			6133-6574-4571-8528	42	 2,692,806 	1	12
315	2021-09-11 6:53	10			4228-9702-4276-8736	8	 1,559 	2	1
316	2021-09-11 7:29	6			3543-1842-4955-1241	70	 1,039 	2	1
317	2021-09-11 11:39	30			6238-1630-4153-1561	21	 19,551 	0	1
318	2021-09-11 14:29	7	385-9060-3453-33	999-5457-3430-92			 246,000 	1	1
319	2021-09-11 23:07	12			4915-0536-1544-4711	87	 3,087 	3	2
320	2021-09-12 1:22	36			4316-7505-0711-0172	13	 35,294 	0	1
321	2021-09-12 12:24	7			5491-0000-7419-8591	10	 30,027 	1	1
322	2021-09-12 14:40	15			5430-8674-0726-5693	13	 33,835 	0	0
323	2021-09-12 16:34	8			4459-8601-5503-0106	82	 2,107,410 	0	3
324	2021-09-12 17:20	26	727-4840-1873-72	393-1754-8216-13			 129,000 	1	1
325	2021-09-12 22:02	36	756-5480-7149-24	393-1754-8216-13			 82,000 	1	1
326	2021-09-13 3:51	20			6258-2058-9776-1010	20	 9,660 	0	0
327	2021-09-13 5:13	19	375-9870-7786-58	990-1478-5088-69			 319,000 	1	1
328	2021-09-13 13:15	5			4554-2948-2495-4347	37	 238,970 	0	4
329	2021-09-14 12:16	4			5469-2651-7075-7532	42	 2,620,574 	0	5
330	2021-09-14 17:38	25	366-6150-8195-42	332-6011-8447-16			 397,000 	1	1
331	2021-09-14 20:17	23	742-3245-6777-81	334-3767-4066-78			 201,000 	1	1
332	2021-09-14 20:32	3	341-4252-6227-25	990-1478-5088-69			 83,000 	1	1
